State Ab,City Name,Median Income
AL,ABANDA,11207
AL,ABBEVILLE,25615
AL,ADAMSVILLE,42575
AL,ADDISON,37083
AL,AKRON,21667
AL,ALABASTER,71816
AL,ALBERTVILLE,32911
AL,ALEXANDER CITY,29874
AL,ALEXANDRIA,56058
AL,ALICEVILLE,21131
AL,ALLGOOD,42009
AL,ALTOONA,27566
AL,ANDALUSIA,31968
AL,ANDERSON,34792
AL,ANNISTON,29681
AL,ARAB,40292
AL,ARDMORE,35670
AL,ARGO,57212
AL,ARITON,24286
AL,ARLEY,28750
AL,ASHFORD,42704
AL,ASHLAND,31438
AL,ASHVILLE,40547
AL,ATHENS,47542
AL,ATMORE,26775
AL,ATTALLA,37191
AL,AUBURN,38342
AL,AUTAUGAVILLE,24833
AL,AVON,40417
AL,AXIS,55750
AL,BABBIE,41912
AL,BAILEYTON,31875
AL,BAKERHILL,31875
AL,BALLPLAY,37778
AL,BANKS,28750
AL,BAY MINETTE,31576
AL,BAYOU LA BATRE,34583
AL,BEAR CREEK,35563
AL,BEATRICE,18417
AL,BEAVERTON,31875
AL,BELGREEN,27750
AL,BELK,28906
AL,BELLAMY,22132
AL,BELLE FONTAINE,34615
AL,BENTON,
AL,BERRY,25865
AL,BESSEMER,29615
AL,BILLINGSLEY,41250
AL,BIRMINGHAM,31061
AL,BLACK,41071
AL,BLOUNTSVILLE,30152
AL,BLUE RIDGE,96333
AL,BLUE SPRINGS,45313
AL,BOAZ,35974
AL,BOLIGEE,12173
AL,BON AIR,23750
AL,BON SECOUR,
AL,BOYKIN,
AL,BRANTLEY,27870
AL,BRANTLEYVILLE,40370
AL,BRENT,33924
AL,BREWTON,31033
AL,BRIDGEPORT,28571
AL,BRIGHTON,22146
AL,BRILLIANT,25893
AL,BRISTOW COVE,
AL,BROOK HIGHLAND,60212
AL,BROOKSIDE,34554
AL,BROOKWOOD,51515
AL,BROOMTOWN,28750
AL,BRUNDIDGE,23819
AL,BUCKS,
AL,BUTLER,28950
AL,CALERA,62893
AL,CALVERT,
AL,CAMDEN,28375
AL,CAMP HILL,25118
AL,CARBON HILL,25990
AL,CARDIFF,
AL,CARLISLEROCKLEDGE,35938
AL,CARLTON,
AL,CAROLINA,50278
AL,CARROLLTON,27857
AL,CASTLEBERRY,20677
AL,CATHERINE,
AL,CEDAR BLUFF,36389
AL,CENTER POINT,39944
AL,CENTRE,31268
AL,CENTREVILLE,41103
AL,CHATOM,35365
AL,CHELSEA,85757
AL,CHEROKEE,28359
AL,CHICKASAW,30973
AL,CHILDERSBURG,25948
AL,CHOCCOLOCCO,54825
AL,CHUNCHULA,
AL,CITRONELLE,48125
AL,CLANTON,39823
AL,CLAY,68717
AL,CLAYHATCHEE,32656
AL,CLAYTON,25203
AL,CLEVELAND,40909
AL,CLIO,19539
AL,COALING,54167
AL,COATS BEND,42821
AL,COFFEE SPRINGS,33636
AL,COFFEEVILLE,19583
AL,COKER,45795
AL,COLLINSVILLE,25795
AL,COLONY,33063
AL,COLUMBIA,31806
AL,COLUMBIANA,32700
AL,CONCORD,44620
AL,COOSADA,47406
AL,CORDOVA,19139
AL,COTTONDALE,43875
AL,COTTONWOOD,25313
AL,COUNTY LINE,55313
AL,COURTLAND,33125
AL,COWARTS,43533
AL,CREOLA,51705
AL,CROSSVILLE,30833
AL,CUBA,40673
AL,CULLMAN,38746
AL,CULLOMBURG,
AL,CUSSETA,52500
AL,DADEVILLE,29368
AL,DALEVILLE,45651
AL,DAPHNE,60737
AL,DAUPHIN ISLAND,63594
AL,DAVISTON,47639
AL,DAYTON,
AL,DEATSVILLE,78125
AL,DECATUR,41496
AL,DEER PARK,
AL,DELTA,
AL,DEMOPOLIS,27656
AL,DETROIT,24107
AL,DODGE CITY,41346
AL,DORA,40769
AL,DOTHAN,42426
AL,DOUBLE SPRINGS,29063
AL,DOUGLAS,29318
AL,DOZIER,21765
AL,DUNNAVANT,42857
AL,DUTTON,39688
AL,EAST BREWTON,26736
AL,EAST POINT,62059
AL,ECLECTIC,41304
AL,EDGEWATER,26818
AL,EDWARDSVILLE,38438
AL,EGYPT,56693
AL,ELBA,26156
AL,ELBERTA,31190
AL,ELDRIDGE,30000
AL,ELKMONT,39583
AL,ELMORE,40150
AL,EMELLE,36250
AL,EMERALD MOUNTAIN,91054
AL,ENTERPRISE,54450
AL,EPES,25000
AL,ETHELSVILLE,40417
AL,EUFAULA,32845
AL,EUNOLA,42023
AL,EUTAW,22377
AL,EVA,39868
AL,EVERGREEN,18661
AL,EXCEL,34375
AL,FAIRFIELD,34890
AL,FAIRFORD,32269
AL,FAIRHOPE,61489
AL,FAIRVIEW,37750
AL,FALKVILLE,33846
AL,FAUNSDALE,20625
AL,FAYETTE,30646
AL,FAYETTEVILLE,34632
AL,FITZPATRICK,
AL,FIVE POINTS,45000
AL,FLOMATON,24406
AL,FLORALA,25673
AL,FLORENCE,35731
AL,FOLEY,40938
AL,FORESTDALE,48654
AL,FORKLAND,19063
AL,FORT DEPOSIT,23963
AL,FORT PAYNE,38833
AL,FORT RUCKER,59265
AL,FRANKLIN,60417
AL,FREDONIA,66591
AL,FRISCO CITY,17311
AL,FRUITDALE,63125
AL,FRUITHURST,35625
AL,FULTON,32083
AL,FULTONDALE,51587
AL,FYFFE,42356
AL,GADSDEN,29136
AL,GAINESVILLE,14444
AL,GALLANT,45859
AL,GANTT,47000
AL,GARDEN CITY,31591
AL,GARDENDALE,56132
AL,GAYLESVILLE,26818
AL,GEIGER,45125
AL,GENEVA,29912
AL,GEORGIANA,19969
AL,GERALDINE,42292
AL,GILBERTOWN,33750
AL,GLEN ALLEN,24531
AL,GLENCOE,46691
AL,GLENWOOD,36000
AL,GOLDVILLE,46250
AL,GOOD HOPE,47754
AL,GOODWATER,23809
AL,GORDO,30781
AL,GORDON,22250
AL,GORDONVILLE,18224
AL,GOSHEN,40132
AL,GRAHAM,41914
AL,GRAND BAY,48767
AL,GRANT,55000
AL,GRAYSON VALLEY,46250
AL,GRAYSVILLE,41282
AL,GREENSBORO,21797
AL,GREENVILLE,29741
AL,GRIMES,31579
AL,GROVE HILL,31786
AL,GUIN,23000
AL,GULFCREST,68462
AL,GULF SHORES,47662
AL,GUNTERSVILLE,39756
AL,GURLEY,32500
AL,GUWIN,39000
AL,HACKLEBURG,28819
AL,HACKNEYVILLE,60474
AL,HALEBURG,54167
AL,HALEYVILLE,24291
AL,HAMILTON,33053
AL,HAMMONDVILLE,43281
AL,HANCEVILLE,29231
AL,HARPERSVILLE,35972
